"Name","Activity type","Description"
"01/08/2012 10:02","vta+bike",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.3762","-121.920554","-49.599998474121094","332.20001220703125","12","8.3853","2012-08-01T17:02:36.000Z",,,,
"1","2","37.376317","-121.920632","-18.600000381469727","328.5","9","10.198","2012-08-01T17:02:37.000Z",,,,
"1","3","37.376401","-121.920684","-14.100000381469727","330.0","10","13.0096","2012-08-01T17:02:38.000Z",,,,
"1","4","37.376548","-121.920716","-20.5","321.70001220703125","9","12.0208","2012-08-01T17:02:39.000Z",,,,
"1","5","37.376614","-121.920751","-6.400000095367432","330.5","8","15.0748","2012-08-01T17:02:40.000Z",,,,
"1","6","37.37675","-121.92081","1.7000000476837158","328.20001220703125","7","14.75","2012-08-01T17:02:41.000Z",,,,
"1","7","37.376855","-121.920937","-6.300000190734863","324.79998779296875","8","16.0078","2012-08-01T17:02:42.000Z",,,,
"1","8","37.37698","-121.921018","-9.899999618530273","329.8999938964844","6","16.0078","2012-08-01T17:02:43.000Z",,,,
"1","9","37.377113","-121.921094","-6.5","333.0","6","18.1108","2012-08-01T17:02:44.000Z",,,,
"1","10","37.377211","-121.92122","-11.399999618530273","329.6000061035156","7","16.75","2012-08-01T17:02:45.000Z",,,,
"1","11","37.377346","-121.921313","-21.799999237060547","331.3999938964844","7","15.7579","2012-08-01T17:02:46.000Z",,,,
"1","12","37.377497","-121.921459","-35.099998474121094","330.8999938964844","8","17.1828","2012-08-01T17:02:47.000Z",,,,
"1","13","37.377702","-121.921564","-30.5","329.5","10","16.75","2012-08-01T17:02:48.000Z",,,,
"1","14","37.377682","-121.921501","41.599998474121094","333.20001220703125","16","15.5","2012-08-01T17:02:49.000Z",,,,
"1","15","37.377892","-121.921796","38.79999923706055","324.70001220703125","13","16.25","2012-08-01T17:02:50.000Z",,,,
"1","16","37.37804","-121.921804","3.200000047683716","328.6000061035156","8","15.75","2012-08-01T17:02:51.000Z",,,,
"1","17","37.378175","-121.92187","-12.699999809265137","330.8999938964844","7","16.14","2012-08-01T17:02:52.000Z",,,,
"1","18","37.378254","-121.921916","-16.200000762939453","328.8999938964844","7","14.5344","2012-08-01T17:02:53.000Z",,,,
"1","19","37.378371","-121.922045","-2.799999952316284","328.3999938964844","4","15.5322","2012-08-01T17:02:54.000Z",,,,
"1","20","37.378448","-121.922114","-21.799999237060547","328.6000061035156","5","16","2012-08-01T17:02:55.000Z",,,,
"1","21","37.378621","-121.922248","-31.399999618530273","329.20001220703125","5","16.5","2012-08-01T17:02:56.000Z",,,,
"1","22","37.378758","-121.922368","-29.399999618530273","329.5","6","17.5071","2012-08-01T17:02:57.000Z",,,,
"1","23","37.378885","-121.922455","-15.300000190734863","330.79998779296875","7","16.869","2012-08-01T17:02:58.000Z",,,,
"1","24","37.379014","-121.922532","-8.100000381469727","329.29998779296875","8","17.25","2012-08-01T17:02:59.000Z",,,,
"1","25","37.379119","-121.922621","-3.799999952316284","329.1000061035156","6","17.5","2012-08-01T17:03:00.000Z",,,,
"1","26","37.379303","-121.922741","-22.100000381469727","328.20001220703125","6","17.5642","2012-08-01T17:03:01.000Z",,,,
"1","27","37.379457","-121.922849","-21.899999618530273","328.5","4","18.2568","2012-08-01T17:03:02.000Z",,,,
"1","28","37.379591","-121.922978","-19.399999618530273","328.5","6","18.0017","2012-08-01T17:03:03.000Z",,,,
"1","29","37.379713","-121.923047","-31.200000762939453","328.70001220703125","10","18.0278","2012-08-01T17:03:04.000Z",,,,
"1","30","37.379892","-121.923154","-19.0","329.5","10","18","2012-08-01T17:03:05.000Z",,,,
"1","31","37.380049","-121.923277","-7.300000190734863","329.1000061035156","8","18.0069","2012-08-01T17:03:06.000Z",,,,
"1","32","37.380187","-121.92336","-1.399999976158142","329.6000061035156","9","18.25","2012-08-01T17:03:07.000Z",,,,
"1","33","37.380343","-121.923463","-1.2000000476837158","328.70001220703125","7","18.1108","2012-08-01T17:03:08.000Z",,,,
"1","34","37.380456","-121.923549","-12.399999618530273","326.8999938964844","8","18.1108","2012-08-01T17:03:09.000Z",,,,
"1","35","37.380595","-121.923651","-9.899999618530273","329.0","6","17.757","2012-08-01T17:03:10.000Z",,,,
"1","36","37.380757","-121.923791","-9.300000190734863","329.1000061035156","5","18","2012-08-01T17:03:11.000Z",,,,
"1","37","37.380894","-121.923939","-3.0","329.79998779296875","5","18","2012-08-01T17:03:12.000Z",,,,
"1","38","37.380944","-121.924034","-8.5","329.0","8","18.5","2012-08-01T17:03:13.000Z",,,,
"1","39","37.381128","-121.924156","-11.0","330.79998779296875","7","18.7417","2012-08-01T17:03:14.000Z",,,,
"1","40","37.381258","-121.924251","-10.699999809265137","329.3999938964844","9","18.2568","2012-08-01T17:03:15.000Z",,,,
"1","41","37.38137","-121.924332","-6.5","328.70001220703125","8","18","2012-08-01T17:03:16.000Z",,,,
"1","42","37.381638","-121.924479","-9.100000381469727","329.1000061035156","6","18.2774","2012-08-01T17:03:17.000Z",,,,
"1","43","37.381715","-121.924571","-23.5","328.79998779296875","5","17.75","2012-08-01T17:03:18.000Z",,,,
"1","44","37.381823","-121.924639","-37.599998474121094","330.29998779296875","5","18.0069","2012-08-01T17:03:19.000Z",,,,
"1","45","37.381942","-121.924705","-34.5","326.29998779296875","6","17.72","2012-08-01T17:03:20.000Z",,,,
"1","46","37.382068","-121.924809","-36.20000076293945","329.20001220703125","7","16.817","2012-08-01T17:03:21.000Z",,,,
"1","47","37.382267","-121.924917","-30.100000381469727","329.3999938964844","7","17.2572","2012-08-01T17:03:22.000Z",,,,
"1","48","37.382398","-121.925027","-26.799999237060547","329.79998779296875","5","16.7798","2012-08-01T17:03:23.000Z",,,,
"1","49","37.382518","-121.925114","-29.600000381469727","330.6000061035156","8","15.8213","2012-08-01T17:03:24.000Z",,,,
"1","50","37.382656","-121.92527","-20.399999618530273","327.1000061035156","9","14.0357","2012-08-01T17:03:25.000Z",,,,
"1","51","37.382722","-121.925327","-33.29999923706055","329.70001220703125","10","14.5","2012-08-01T17:03:26.000Z",,,,
"1","52","37.382831","-121.925418","-26.100000381469727","329.0","9","13","2012-08-01T17:03:27.000Z",,,,
"1","53","37.3829","-121.925477","-39.20000076293945","329.3999938964844","10","11.75","2012-08-01T17:03:28.000Z",,,,
"1","54","37.382966","-121.925498","-35.0","327.6000061035156","5","10.0499","2012-08-01T17:03:29.000Z",,,,
"1","55","37.383012","-121.925535","-43.70000076293945","330.5","8","8.807","2012-08-01T17:03:30.000Z",,,,
"1","56","37.383082","-121.925643","-29.0","328.0","5","7.5","2012-08-01T17:03:31.000Z",,,,
"1","57","37.383173","-121.925734","-35.400001525878906","327.20001220703125","8","4.5277","2012-08-01T17:03:34.000Z",,,,
"1","58","37.383214","-121.925702","-42.5","329.8999938964844","7","1.75","2012-08-01T17:03:36.000Z",,,,
"1","59","37.383262","-121.925725","-28.700000762939453","335.79998779296875","7","0.25","2012-08-01T17:03:38.000Z",,,,
"1","60","37.383181","-121.925784","-47.29999923706055","0.0","13","0","2012-08-01T17:03:45.000Z",,,,
"1","61","37.383218","-121.925741","-49.29999923706055","335.79998779296875","12","0.559","2012-08-01T17:03:47.000Z",,,,
"1","62","37.383193","-121.925667","-43.20000076293945","335.79998779296875","10","1.118","2012-08-01T17:03:49.000Z",,,,
"1","63","37.383163","-121.925622","-37.599998474121094","335.79998779296875","11","0.75","2012-08-01T17:03:53.000Z",,,,
"1","64","37.383369","-121.92569","-9.399999618530273","0.0","9","0","2012-08-01T17:03:54.000Z",,,,
"1","65","37.383297","-121.92576","-36.20000076293945","335.79998779296875","7","0.7071","2012-08-01T17:03:56.000Z",,,,
"1","66","37.383345","-121.925725","-14.199999809265137","334.20001220703125","9","1.8028","2012-08-01T17:03:59.000Z",,,,
"1","67","37.383396","-121.925764","-28.899999618530273","329.29998779296875","9","2.25","2012-08-01T17:04:00.000Z",,,,
"1","68","37.383477","-121.925791","-16.399999618530273","328.20001220703125","11","5.2738","2012-08-01T17:04:02.000Z",,,,
"1","69","37.383515","-121.925889","-17.399999618530273","329.0","9","7.1589","2012-08-01T17:04:04.000Z",,,,
"1","70","37.383593","-121.925925","-34.29999923706055","329.70001220703125","11","8.0623","2012-08-01T17:04:05.000Z",,,,
"1","71","37.383731","-121.926009","-31.799999237060547","326.8999938964844","8","10.0125","2012-08-01T17:04:06.000Z",,,,
"1","72","37.383783","-121.92612","-31.600000381469727","330.29998779296875","8","12","2012-08-01T17:04:07.000Z",,,,
"1","73","37.383889","-121.926217","-27.899999618530273","331.0","10","12.0416","2012-08-01T17:04:08.000Z",,,,
"1","74","37.383974","-121.926313","-18.600000381469727","329.79998779296875","8","13.5","2012-08-01T17:04:09.000Z",,,,
"1","75","37.384077","-121.926328","-35.400001525878906","329.6000061035156","8","14.25","2012-08-01T17:04:10.000Z",,,,
"1","76","37.384186","-121.926423","-38.400001525878906","328.5","8","14.75","2012-08-01T17:04:11.000Z",,,,
"1","77","37.384308","-121.926537","-30.100000381469727","328.29998779296875","8","15.2828","2012-08-01T17:04:12.000Z",,,,
"1","78","37.384411","-121.92663","-29.100000381469727","328.5","8","13.5","2012-08-01T17:04:13.000Z",,,,
"1","79","37.384531","-121.9267","-28.799999237060547","329.8999938964844","6","15.5081","2012-08-01T17:04:14.000Z",,,,
"1","80","37.384647","-121.926783","-23.299999237060547","328.70001220703125","6","14.5","2012-08-01T17:04:15.000Z",,,,
"1","81","37.384766","-121.92685","-18.700000762939453","328.8999938964844","6","13.7591","2012-08-01T17:04:16.000Z",,,,
"1","82","37.384921","-121.926874","-30.899999618530273","330.8999938964844","5","13.75","2012-08-01T17:04:17.000Z",,,,
"1","83","37.38501","-121.926963","-28.0","323.3999938964844","5","11.2611","2012-08-01T17:04:18.000Z",,,,
"1","84","37.385088","-121.927044","-29.799999237060547","325.79998779296875","4","12.9059","2012-08-01T17:04:19.000Z",,,,
"1","85","37.385177","-121.927085","-33.599998474121094","329.1000061035156","4","11.1803","2012-08-01T17:04:20.000Z",,,,
"1","86","37.385226","-121.927164","-24.899999618530273","329.3999938964844","4","9.75","2012-08-01T17:04:21.000Z",,,,
"1","87","37.385339","-121.927195","-30.0","329.0","8","8.25","2012-08-01T17:04:22.000Z",,,,
"1","88","37.385421","-121.92728","-28.899999618530273","327.3999938964844","9","7.25","2012-08-01T17:04:23.000Z",,,,
"1","89","37.385452","-121.927321","-39.900001525878906","327.6000061035156","7","4.7762","2012-08-01T17:04:25.000Z",,,,
"1","90","37.385495","-121.927352","-27.399999618530273","329.29998779296875","5","1.5","2012-08-01T17:04:28.000Z",,,,
"1","91","37.385507","-121.927416","-28.600000381469727","315.20001220703125","10","0.5","2012-08-01T17:04:32.000Z",,,,
"1","92","37.385522","-121.927358","-18.0","315.20001220703125","7","0.559","2012-08-01T17:04:35.000Z",,,,
"1","93","37.385535","-121.927424","-16.5","329.3999938964844","5","2.25","2012-08-01T17:04:37.000Z",,,,
