"Name","Activity type","Description"
"01/08/2012 19:13","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.412021","-122.057838","-6.800000190734863","78.0999984741211","8","2.2361","2012-08-02T02:14:21.626Z",,,,
"1","2","37.412043","-122.057774","-17.700000762939453","69.0999984741211","9","3","2012-08-02T02:14:25.000Z",,,,
"1","3","37.412022","-122.057687","-25.0","77.30000305175781","10","3","2012-08-02T02:14:28.000Z",,,,
"1","4","37.412024","-122.057628","-28.100000381469727","65.5999984741211","7","3.25","2012-08-02T02:14:30.000Z",,,,
"1","5","37.412046","-122.05757","-28.399999618530273","69.19999694824219","6","3.25","2012-08-02T02:14:32.000Z",,,,
"1","6","37.412065","-122.057508","-28.399999618530273","77.9000015258789","6","2.75","2012-08-02T02:14:34.000Z",,,,
"1","7","37.412088","-122.057451","-27.399999618530273","116.30000305175781","3","2.5","2012-08-02T02:14:36.000Z",,,,
"1","8","37.412053","-122.057402","-28.5","155.10000610351563","4","2.25","2012-08-02T02:14:39.000Z",,,,
"1","9","37.412003","-122.057384","-28.899999618530273","156.89999389648438","4","2.75","2012-08-02T02:14:41.000Z",,,,
"1","10","37.411943","-122.057362","-29.200000762939453","159.89999389648438","3","3","2012-08-02T02:14:43.000Z",,,,
"1","11","37.411886","-122.057343","-28.600000381469727","164.39999389648438","5","2.75","2012-08-02T02:14:45.000Z",,,,
"1","12","37.411823","-122.057315","-25.100000381469727","156.0","4","3.2016","2012-08-02T02:14:47.000Z",,,,
"1","13","37.411773","-122.057288","-27.0","152.8000030517578","4","2.9262","2012-08-02T02:14:49.000Z",,,,
"1","14","37.411719","-122.05727","-27.700000762939453","165.10000610351563","4","2.75","2012-08-02T02:14:51.000Z",,,,
"1","15","37.411668","-122.057247","-27.700000762939453","154.39999389648438","4","2.75","2012-08-02T02:14:53.000Z",,,,
"1","16","37.411622","-122.057226","-28.799999237060547","158.0","6","2.5","2012-08-02T02:14:55.000Z",,,,
"1","17","37.411559","-122.057191","-29.799999237060547","154.60000610351563","4","3.5","2012-08-02T02:14:57.000Z",,,,
"1","18","37.411511","-122.057152","-29.700000762939453","149.6999969482422","6","3","2012-08-02T02:14:59.000Z",,,,
"1","19","37.41146","-122.057112","-29.200000762939453","154.3000030517578","5","2.5495","2012-08-02T02:15:01.000Z",,,,
"1","20","37.411415","-122.057075","-25.799999237060547","170.10000610351563","5","2.25","2012-08-02T02:15:03.000Z",,,,
"1","21","37.411372","-122.05705","-25.299999237060547","170.39999389648438","5","2.25","2012-08-02T02:15:05.000Z",,,,
"1","22","37.411326","-122.057028","-24.299999237060547","166.5","5","2.5","2012-08-02T02:15:07.000Z",,,,
"1","23","37.411279","-122.056996","-22.799999237060547","159.5","4","2.5","2012-08-02T02:15:09.000Z",,,,
"1","24","37.411232","-122.05697","-21.899999618530273","168.10000610351563","4","2.5","2012-08-02T02:15:11.000Z",,,,
