"Name","Activity type","Description"
"02/08/2012 21:09","train","VTA"

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.404531","-122.049447","-31.200000762939453","0.0","11","0","2012-08-03T04:13:21.794Z",,,,
"1","2","37.404487","-122.049427","-21.5","0.0","3","0","2012-08-03T04:13:41.000Z",,,,
"1","3","37.404442","-122.049417","-28.799999237060547","0.0","4","0","2012-08-03T04:14:59.000Z",,,,
"1","4","37.404476","-122.049378","-34.900001525878906","0.0","4","0.25","2012-08-03T04:15:11.000Z",,,,
"1","5","37.404434","-122.049406","-31.100000381469727","0.0","3","0","2012-08-03T04:15:37.000Z",,,,
"1","6","37.404405","-122.049361","-16.700000762939453","0.0","3","0","2012-08-03T04:22:48.000Z",,,,
"1","7","37.404368","-122.049286","-16.700000762939453","119.0","3","4.25","2012-08-03T04:23:23.000Z",,,,
"1","8","37.40433","-122.049204","-16.399999618530273","117.30000305175781","4","4.75","2012-08-03T04:23:25.000Z",,,,
"1","9","37.404276","-122.049084","-16.700000762939453","116.5","3","7.5","2012-08-03T04:23:26.000Z",,,,
"1","10","37.404241","-122.048991","-17.700000762939453","116.19999694824219","3","8.25","2012-08-03T04:23:27.000Z",,,,
"1","11","37.404209","-122.048909","-17.799999237060547","116.19999694824219","5","8.25","2012-08-03T04:23:28.000Z",,,,
"1","12","37.404163","-122.04878","-17.399999618530273","116.5999984741211","5","9.75","2012-08-03T04:23:29.000Z",,,,
"1","13","37.404115","-122.048615","-19.799999237060547","117.5999984741211","4","11.5109","2012-08-03T04:23:30.000Z",,,,
"1","14","37.404049","-122.048475","-18.299999237060547","116.4000015258789","3","13.7591","2012-08-03T04:23:31.000Z",,,,
"1","15","37.403991","-122.048341","-17.600000381469727","116.9000015258789","3","13.75","2012-08-03T04:23:32.000Z",,,,
"1","16","37.403935","-122.048202","-17.700000762939453","116.9000015258789","5","13.75","2012-08-03T04:23:33.000Z",,,,
"1","17","37.403885","-122.048035","-18.700000762939453","112.5999984741211","3","15.0083","2012-08-03T04:23:34.000Z",,,,
"1","18","37.403833","-122.047865","-19.5","112.4000015258789","3","16.0078","2012-08-03T04:23:35.000Z",,,,
"1","19","37.403765","-122.047664","-20.399999618530273","112.0","4","17","2012-08-03T04:23:36.000Z",,,,
"1","20","37.403705","-122.047489","-21.5","112.19999694824219","4","17.6139","2012-08-03T04:23:37.000Z",,,,
"1","21","37.403646","-122.047307","-23.299999237060547","112.19999694824219","5","17.6139","2012-08-03T04:23:38.000Z",,,,
"1","22","37.403588","-122.047097","-23.600000381469727","107.4000015258789","3","18.5068","2012-08-03T04:23:39.000Z",,,,
"1","23","37.403539","-122.046893","-24.100000381469727","107.0999984741211","4","19.5064","2012-08-03T04:23:40.000Z",,,,
"1","24","37.403488","-122.046686","-23.799999237060547","107.0999984741211","4","19.5064","2012-08-03T04:23:41.000Z",,,,
"1","25","37.403434","-122.046472","-24.100000381469727","107.0999984741211","5","19.25","2012-08-03T04:23:42.000Z",,,,
"1","26","37.403384","-122.046266","-24.0","107.0999984741211","7","19.25","2012-08-03T04:23:43.000Z",,,,
