"Name","Activity type","Description"
"304 Castro St","dirt bike",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.40928","-122.064671","13.79998779296875","231.0","5","2.4394","2012-08-11T02:36:58.000Z",,,,
"1","2","37.409236","-122.064785","14.4000244140625","252.0","10","1.5638","2012-08-11T02:36:59.000Z",,,,
"1","3","37.409302","-122.064846","10.79998779296875","259.0","15","2.502","2012-08-11T02:37:01.000Z",,,,
"1","4","37.409345","-122.064866","5.70001220703125","262.0","15","2.1892","2012-08-11T02:37:02.000Z",,,,
"1","5","37.40936","-122.064927","3.70001220703125","259.0","15","2.3143","2012-08-11T02:37:04.000Z",,,,
"1","6","37.409332","-122.065005","2.29998779296875","248.0","15","2.7522","2012-08-11T02:37:07.000Z",,,,
"1","7","37.409293","-122.065086","1.29998779296875","238.0","20","3.3777","2012-08-11T02:37:09.000Z",,,,
"1","8","37.409271","-122.065136","-0.600006103515625","237.0","20","3.8781","2012-08-11T02:37:10.000Z",,,,
"1","9","37.409227","-122.065224","0.20001220703125","240.0","20","4.2534","2012-08-11T02:37:12.000Z",,,,
"1","10","37.409186","-122.065305","0.600006103515625","237.0","20","4.0658","2012-08-11T02:37:14.000Z",,,,
"1","11","37.409148","-122.065388","1.5","236.0","20","4.2534","2012-08-11T02:37:16.000Z",,,,
"1","12","37.409107","-122.065461","2.20001220703125","232.0","20","4.1283","2012-08-11T02:37:18.000Z",,,,
"1","13","37.409061","-122.065534","1.899993896484375","224.0","20","4.0658","2012-08-11T02:37:20.000Z",,,,
"1","14","37.409015","-122.065618","-1.5","228.0","20","4.1908","2012-08-11T02:37:22.000Z",,,,
"1","15","37.408976","-122.065695","-6.29998779296875","224.0","20","3.8156","2012-08-11T02:37:24.000Z",,,,
"1","16","37.408923","-122.065748","-4.399993896484375","219.0","15","3.8781","2012-08-11T02:37:26.000Z",,,,
"1","17","37.408872","-122.06581","-5.399993896484375","219.0","15","4.0032","2012-08-11T02:37:28.000Z",,,,
"1","18","37.40883","-122.065849","-5.399993896484375","216.0","15","4.6912","2012-08-11T02:37:29.000Z",,,,
"1","19","37.408791","-122.065878","-4.70001220703125","212.0","15","4.6912","2012-08-11T02:37:30.000Z",,,,
"1","20","37.408715","-122.065938","-7.0","206.0","15","4.6912","2012-08-11T02:37:32.000Z",,,,
"1","21","37.408643","-122.065988","-8.79998779296875","205.0","15","4.5036","2012-08-11T02:37:34.000Z",,,,
"1","22","37.408602","-122.066015","-9.29998779296875","204.0","15","4.5661","2012-08-11T02:37:35.000Z",,,,
"1","23","37.408525","-122.066057","-8.899993896484375","202.0","15","4.6287","2012-08-11T02:37:37.000Z",,,,
"1","24","37.408454","-122.066102","-10.29998779296875","202.0","15","4.3159","2012-08-11T02:37:39.000Z",,,,
"1","25","37.40839","-122.066146","-10.70001220703125","207.0","15","3.9406","2012-08-11T02:37:41.000Z",,,,
"1","26","37.408337","-122.066176","-11.399993896484375","203.0","15","3.6279","2012-08-11T02:37:43.000Z",,,,
"1","27","37.408276","-122.066205","-10.899993896484375","202.0","15","3.753","2012-08-11T02:37:45.000Z",,,,
"1","28","37.408214","-122.066236","-10.899993896484375","204.0","10","3.753","2012-08-11T02:37:47.000Z",,,,
"1","29","37.408145","-122.066264","-10.5","200.0","10","3.8781","2012-08-11T02:37:49.000Z",,,,
"1","30","37.408078","-122.066297","-9.70001220703125","205.0","10","3.6904","2012-08-11T02:37:51.000Z",,,,
"1","31","37.408012","-122.06633","-9.100006103515625","203.0","10","3.5028","2012-08-11T02:37:53.000Z",,,,
"1","32","37.407947","-122.066349","-9.5","198.0","10","3.4402","2012-08-11T02:37:55.000Z",,,,
"1","33","37.407886","-122.066371","-8.70001220703125","203.0","10","3.4402","2012-08-11T02:37:57.000Z",,,,
"1","34","37.407826","-122.066386","-7.5","197.0","10","3.2526","2012-08-11T02:37:59.000Z",,,,
"1","35","37.407763","-122.066403","-6.600006103515625","198.0","10","3.5654","2012-08-11T02:38:01.000Z",,,,
"1","36","37.407694","-122.066421","-5.70001220703125","198.0","10","3.753","2012-08-11T02:38:03.000Z",,,,
"1","37","37.407626","-122.066436","-4.899993896484375","200.0","10","3.6904","2012-08-11T02:38:05.000Z",,,,
"1","38","37.407562","-122.066449","-4.100006103515625","197.0","10","3.5654","2012-08-11T02:38:07.000Z",,,,
"1","39","37.407493","-122.066474","-4.100006103515625","198.0","10","3.753","2012-08-11T02:38:09.000Z",,,,
"1","40","37.407414","-122.066501","-3.899993896484375","196.0","10","4.1908","2012-08-11T02:38:11.000Z",,,,
"1","41","37.407337","-122.066525","-3.70001220703125","196.0","10","4.3159","2012-08-11T02:38:13.000Z",,,,
"1","42","37.407264","-122.066557","-3.600006103515625","200.0","10","4.1283","2012-08-11T02:38:15.000Z",,,,
"1","43","37.40718","-122.06658","-3.399993896484375","195.0","10","4.6287","2012-08-11T02:38:17.000Z",,,,
"1","44","37.407097","-122.06661","-3.20001220703125","198.0","10","4.7538","2012-08-11T02:38:19.000Z",,,,
"1","45","37.406802","-122.06692","-37.5","213.0","10","5.7546","2012-08-11T02:38:27.000Z",,,,
"1","46","37.406748","-122.066967","-32.600006103515625","211.0","10","6.1299","2012-08-11T02:38:28.000Z",,,,
"1","47","37.406697","-122.067003","-33.5","206.0","15","6.255","2012-08-11T02:38:29.000Z",,,,
"1","48","37.406646","-122.067029","-35.600006103515625","206.0","15","6.3176","2012-08-11T02:38:30.000Z",,,,
"1","49","37.406582","-122.067044","-35.100006103515625","208.0","20","6.5052","2012-08-11T02:38:31.000Z",,,,
"1","50","37.406515","-122.067062","-34.29998779296875","206.0","20","6.8179","2012-08-11T02:38:32.000Z",,,,
"1","51","37.406456","-122.067092","-34.100006103515625","207.0","20","6.5677","2012-08-11T02:38:33.000Z",,,,
"1","52","37.406397","-122.067129","-33.70001220703125","211.0","20","6.7554","2012-08-11T02:38:34.000Z",,,,
"1","53","37.406339","-122.06716","-33.29998779296875","207.0","20","6.6303","2012-08-11T02:38:35.000Z",,,,
"1","54","37.406278","-122.067186","-32.899993896484375","206.0","20","6.7554","2012-08-11T02:38:36.000Z",,,,
"1","55","37.40622","-122.067214","-32.600006103515625","207.0","20","6.6929","2012-08-11T02:38:37.000Z",,,,
"1","56","37.406165","-122.067238","-31.70001220703125","205.0","20","6.3176","2012-08-11T02:38:38.000Z",,,,
"1","57","37.406107","-122.067259","-30.899993896484375","206.0","20","6.255","2012-08-11T02:38:39.000Z",,,,
"1","58","37.40606","-122.067289","-31.5","209.0","20","6.0674","2012-08-11T02:38:40.000Z",,,,
"1","59","37.406013","-122.067321","-32.20001220703125","210.0","20","6.1299","2012-08-11T02:38:41.000Z",,,,
"1","60","37.405962","-122.067348","-32.399993896484375","209.0","20","6.0674","2012-08-11T02:38:42.000Z",,,,
