"Name","Activity type","Description"
"8/10/2012 10:09am","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.278643","-121.875471","11.70001220703125","119.0","5","1.0633","2012-08-10T17:09:48.000Z",,,,
"1","2","37.278658","-121.875372","16.4000244140625","102.0","10","1.0633","2012-08-10T17:09:51.000Z",,,,
"1","3","37.278667","-121.875315","18.9000244140625","94.0","10","1.1884","2012-08-10T17:09:53.000Z",,,,
"1","4","37.278669","-121.875254","18.5","93.0","10","0.9383","2012-08-10T17:09:58.000Z",,,,
"1","5","37.278664","-121.875192","17.20001220703125","115.0","10","1.0008","2012-08-10T17:10:04.000Z",,,,
"1","6","37.278684","-121.875131","17.29998779296875","90.0","10","0.9383","2012-08-10T17:10:09.000Z",,,,
"1","7","37.278713","-121.875074","17.29998779296875","63.0","10","1.0633","2012-08-10T17:10:15.000Z",,,,
"1","8","37.278724","-121.875014","17.5","71.0","10","1.0008","2012-08-10T17:10:20.000Z",,,,
"1","9","37.278731","-121.874955","18.0","77.0","10","1.251","2012-08-10T17:10:24.000Z",,,,
"1","10","37.278734","-121.874888","18.79998779296875","68.0","10","0.9383","2012-08-10T17:10:29.000Z",,,,
"1","11","37.278754","-121.874833","20.0999755859375","71.0","10","1.0633","2012-08-10T17:10:32.000Z",,,,
"1","12","37.278721","-121.874789","20.0999755859375","121.0","10","0.7506","2012-08-10T17:10:37.000Z",,,,
"1","13","37.278679","-121.874765","19.5","146.0","10","1.0008","2012-08-10T17:10:41.000Z",,,,
"1","14","37.278628","-121.874741","18.20001220703125","158.0","10","1.0008","2012-08-10T17:10:45.000Z",,,,
"1","15","37.27858","-121.874732","16.5999755859375","163.0","10","1.0633","2012-08-10T17:10:49.000Z",,,,
"1","16","37.278534","-121.874725","16.0","168.0","10","1.251","2012-08-10T17:10:53.000Z",,,,
"1","17","37.278487","-121.874719","15.29998779296875","166.0","10","1.0008","2012-08-10T17:10:57.000Z",,,,
"1","18","37.278441","-121.874689","15.29998779296875","154.0","10","1.5638","2012-08-10T17:11:01.000Z",,,,
"1","19","37.278391","-121.874686","15.29998779296875","164.0","10","1.6888","2012-08-10T17:11:04.000Z",,,,
