"Name","Activity type","Description"
"8/11/2012 1:40pm","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.404113","-122.108535","11.100006103515625","156.0","5","1.6263","2012-08-11T20:40:34.000Z",,,,
"1","2","37.40412","-122.108448","13.5999755859375","151.0","10","1.8765","2012-08-11T20:40:37.000Z",,,,
"1","3","37.404237","-122.108403","-12.399993896484375","142.0","10","2.3143","2012-08-11T20:40:38.000Z",,,,
"1","4","37.404199","-122.108358","-8.600006103515625","136.0","10","1.4387","2012-08-11T20:40:40.000Z",,,,
"1","5","37.404154","-122.108338","-8.399993896484375","145.0","10","1.3135","2012-08-11T20:40:43.000Z",,,,
"1","6","37.404113","-122.108293","-6.899993896484375","142.0","10","1.1884","2012-08-11T20:40:47.000Z",,,,
"1","7","37.404087","-122.108243","-11.0","150.0","10","0.9383","2012-08-11T20:40:53.000Z",,,,
"1","8","37.404053","-122.108187","-10.20001220703125","143.0","10","1.0633","2012-08-11T20:40:57.000Z",,,,
"1","9","37.404033","-122.108129","-10.20001220703125","135.0","10","0.9383","2012-08-11T20:41:00.000Z",,,,
"1","10","37.404012","-122.108077","-11.0","137.0","10","1.1259","2012-08-11T20:41:04.000Z",,,,
"1","11","37.403987","-122.108026","-10.20001220703125","135.0","10","1.3135","2012-08-11T20:41:07.000Z",,,,
"1","12","37.403958","-122.107963","-10.0","137.0","10","1.1884","2012-08-11T20:41:11.000Z",,,,
"1","13","37.403925","-122.10791","-9.899993896484375","136.0","10","1.3135","2012-08-11T20:41:15.000Z",,,,
"1","14","37.403888","-122.107862","-10.29998779296875","127.0","10","1.5012","2012-08-11T20:41:19.000Z",,,,
"1","15","37.403864","-122.107812","-9.70001220703125","123.0","10","1.5012","2012-08-11T20:41:22.000Z",,,,
"1","16","37.403831","-122.107758","-9.5","135.0","10","1.4387","2012-08-11T20:41:26.000Z",,,,
"1","17","37.403802","-122.107701","-9.5","140.0","10","1.1884","2012-08-11T20:41:30.000Z",,,,
"1","18","37.403776","-122.107638","-10.20001220703125","138.0","10","0.9383","2012-08-11T20:41:34.000Z",,,,
"1","19","37.403751","-122.107589","-10.600006103515625","134.0","10","1.0633","2012-08-11T20:41:38.000Z",,,,
"1","20","37.403729","-122.107538","-10.600006103515625","125.0","10","1.0633","2012-08-11T20:41:42.000Z",,,,
