"Name","Activity type","Description"
"8/4/2012 3:42pm","hiking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.718461","-122.106117","49.0","281.0","5","0.688","2012-08-04T22:46:26.000Z",,,,
"1","2","37.71851","-122.106148","43.70001220703125","252.0","10","0.2502","2012-08-04T22:46:27.000Z",,,,
"1","3","37.718442","-122.106177","30.20001220703125","248.0","15","0","2012-08-04T22:46:29.000Z",,,,
"1","4","37.718442","-122.106177","30.20001220703125","248.0","15","0","2012-08-04T22:46:29.000Z",,,,
"1","5","37.718442","-122.106177","30.20001220703125","248.0","15","0","2012-08-04T22:46:32.000Z",,,,
"1","6","37.71841","-122.106237","27.29998779296875","254.0","15","1.1259","2012-08-04T22:46:33.000Z",,,,
"1","7","37.718427","-122.106291","34.70001220703125","278.0","15","0.7506","2012-08-04T22:46:38.000Z",,,,
"1","8","37.71845","-122.10634","41.0999755859375","276.0","15","0.5004","2012-08-04T22:46:44.000Z",,,,
"1","9","37.71848","-122.106384","53.0999755859375","288.0","15","0.3753","2012-08-04T22:46:52.000Z",,,,
"1","10","37.71851","-122.106456","62.4000244140625","287.0","10","0.4378","2012-08-04T22:47:05.000Z",,,,
"1","11","37.718516","-122.106519","62.79998779296875","273.0","10","0.563","2012-08-04T22:47:12.000Z",,,,
"1","12","37.718516","-122.106578","62.20001220703125","275.0","10","0.2502","2012-08-04T22:47:18.000Z",,,,
"1","13","37.718484","-122.106793","63.5999755859375","222.0","5","0.8131","2012-08-04T22:47:28.000Z",,,,
"1","14","37.718539","-122.10679","67.0999755859375","267.0","15","0.5004","2012-08-04T22:47:31.000Z",,,,
"1","15","37.718585","-122.106817","60.9000244140625","301.0","20","0.6255","2012-08-04T22:47:44.000Z",,,,
"1","16","37.718583","-122.106885","50.5","280.0","15","0.3753","2012-08-04T22:47:52.000Z",,,,
"1","17","37.718597","-122.106942","55.20001220703125","275.0","15","0.5004","2012-08-04T22:48:00.000Z",,,,
"1","18","37.718615","-122.106995","54.0","306.0","10","0.8131","2012-08-04T22:48:10.000Z",,,,
"1","19","37.718623","-122.107057","53.79998779296875","265.0","10","0.8131","2012-08-04T22:48:16.000Z",,,,
"1","20","37.718633","-122.107113","50.4000244140625","265.0","10","0.6255","2012-08-04T22:48:21.000Z",,,,
"1","21","37.718732","-122.107204","38.4000244140625","246.0","5","1.0008","2012-08-04T22:48:28.000Z",,,,
"1","22","37.718739","-122.107265","38.5","236.0","15","0.4378","2012-08-04T22:48:34.000Z",,,,
"1","23","37.718762","-122.107326","38.70001220703125","262.0","15","0.8757","2012-08-04T22:48:38.000Z",,,,
"1","24","37.718803","-122.107346","44.79998779296875","289.0","15","0.6255","2012-08-04T22:48:43.000Z",,,,
"1","25","37.718837","-122.107396","46.0","277.0","15","0.5004","2012-08-04T22:48:48.000Z",,,,
"1","26","37.718858","-122.10745","39.20001220703125","298.0","15","0.8131","2012-08-04T22:48:53.000Z",,,,
"1","27","37.718889","-122.107492","38.4000244140625","302.0","15","0.5004","2012-08-04T22:48:59.000Z",,,,
"1","28","37.718925","-122.107533","38.20001220703125","303.0","10","0.5004","2012-08-04T22:49:05.000Z",,,,
"1","29","37.718962","-122.107574","37.0","310.0","10","0.8131","2012-08-04T22:49:13.000Z",,,,
"1","30","37.719001","-122.107604","36.0999755859375","319.0","10","0.8757","2012-08-04T22:49:17.000Z",,,,
"1","31","37.719046","-122.107627","35.70001220703125","334.0","10","0.6255","2012-08-04T22:49:22.000Z",,,,
"1","32","37.719172","-122.10764","34.0","176.0","5","0.7506","2012-08-04T22:49:28.000Z",,,,
"1","33","37.71914","-122.107696","27.4000244140625","229.0","10","1.1884","2012-08-04T22:49:31.000Z",,,,
"1","34","37.719187","-122.107726","35.0999755859375","263.0","10","0.563","2012-08-04T22:49:41.000Z",,,,
"1","35","37.719218","-122.107781","38.0999755859375","304.0","10","0.688","2012-08-04T22:49:48.000Z",,,,
"1","36","37.719244","-122.107835","37.5","301.0","10","0.5004","2012-08-04T22:49:55.000Z",,,,
"1","37","37.719287","-122.107867","39.0","321.0","10","0.563","2012-08-04T22:50:02.000Z",,,,
"1","38","37.71933","-122.107893","40.5999755859375","329.0","10","0.563","2012-08-04T22:50:07.000Z",,,,
"1","39","37.719367","-122.107932","42.20001220703125","311.0","10","0.6255","2012-08-04T22:50:13.000Z",,,,
"1","40","37.719391","-122.107986","46.0999755859375","278.0","10","0.688","2012-08-04T22:50:22.000Z",,,,
"1","41","37.719422","-122.108028","47.70001220703125","313.0","10","0.3753","2012-08-04T22:50:29.000Z",,,,
"1","42","37.719469","-122.108063","47.79998779296875","325.0","10","0.8757","2012-08-04T22:50:34.000Z",,,,
"1","43","37.719509","-122.108088","47.79998779296875","347.0","10","0.7506","2012-08-04T22:50:38.000Z",,,,
"1","44","37.719552","-122.108108","48.5","347.0","10","0.3128","2012-08-04T22:50:45.000Z",,,,
"1","45","37.719591","-122.10814","48.0","330.0","10","0.3128","2012-08-04T22:50:52.000Z",,,,
"1","46","37.719573","-122.108194","46.70001220703125","337.0","10","0.1251","2012-08-04T22:51:13.000Z",,,,
"1","47","37.719629","-122.108261","46.5999755859375","178.0","5","0.1251","2012-08-04T22:51:28.000Z",,,,
"1","48","37.7197","-122.108264","41.20001220703125","67.0","10","0.563","2012-08-04T22:51:32.000Z",,,,
"1","49","37.719766","-122.108298","41.79998779296875","13.0","15","0.4378","2012-08-04T22:51:42.000Z",,,,
"1","50","37.719741","-122.108352","32.29998779296875","200.0","15","0","2012-08-04T22:51:53.000Z",,,,
"1","51","37.719741","-122.108352","32.29998779296875","200.0","15","0","2012-08-04T22:51:53.000Z",,,,
"1","52","37.719741","-122.108352","32.29998779296875","200.0","10","0","2012-08-04T22:51:54.000Z",,,,
"1","53","37.719699","-122.108328","41.29998779296875","142.0","15","0.6255","2012-08-04T22:52:48.000Z",,,,
"1","54","37.719659","-122.108289","39.4000244140625","133.0","15","0.4378","2012-08-04T22:52:55.000Z",,,,
"1","55","37.719619","-122.108246","41.0999755859375","131.0","10","0.563","2012-08-04T22:53:02.000Z",,,,
"1","56","37.719592","-122.108197","42.20001220703125","137.0","10","0.688","2012-08-04T22:53:06.000Z",,,,
"1","57","37.719557","-122.108147","44.79998779296875","144.0","10","0.688","2012-08-04T22:53:11.000Z",,,,
"1","58","37.719524","-122.108099","46.20001220703125","130.0","10","0.3753","2012-08-04T22:53:19.000Z",,,,
"1","59","37.719478","-122.108069","46.29998779296875","146.0","10","0.688","2012-08-04T22:53:27.000Z",,,,
"1","60","37.719437","-122.108039","45.70001220703125","155.0","10","0.6255","2012-08-04T22:53:32.000Z",,,,
"1","61","37.719392","-122.107998","46.29998779296875","139.0","10","0.688","2012-08-04T22:53:38.000Z",,,,
"1","62","37.719363","-122.107949","47.70001220703125","123.0","10","0.7506","2012-08-04T22:53:43.000Z",,,,
"1","63","37.719328","-122.107891","47.4000244140625","121.0","10","0.7506","2012-08-04T22:53:50.000Z",,,,
"1","64","37.719292","-122.107855","46.70001220703125","133.0","10","0.7506","2012-08-04T22:53:54.000Z",,,,
"1","65","37.719251","-122.107814","46.9000244140625","131.0","10","0.6255","2012-08-04T22:53:59.000Z",,,,
"1","66","37.719212","-122.107769","48.0999755859375","141.0","10","0.9383","2012-08-04T22:54:06.000Z",,,,
"1","67","37.71917","-122.10773","47.5999755859375","137.0","10","0.563","2012-08-04T22:54:13.000Z",,,,
"1","68","37.719132","-122.107684","47.0999755859375","136.0","10","0.8131","2012-08-04T22:54:22.000Z",,,,
"1","69","37.71908","-122.107589","44.5999755859375","191.0","5","0.1251","2012-08-04T22:54:31.000Z",,,,
"1","70","37.719053","-122.10754","46.70001220703125","149.0","15","0.688","2012-08-04T22:54:36.000Z",,,,
"1","71","37.719006","-122.107498","49.0999755859375","142.0","20","0.9383","2012-08-04T22:54:41.000Z",,,,
"1","72","37.718968","-122.107458","50.79998779296875","153.0","15","0.563","2012-08-04T22:54:47.000Z",,,,
"1","73","37.718926","-122.107417","54.5999755859375","152.0","15","1.0008","2012-08-04T22:54:51.000Z",,,,
"1","74","37.718883","-122.107385","55.70001220703125","157.0","15","0.688","2012-08-04T22:54:58.000Z",,,,
"1","75","37.718826","-122.107383","49.5","174.0","15","0.7506","2012-08-04T22:55:10.000Z",,,,
"1","76","37.718781","-122.107367","47.4000244140625","162.0","10","0.7506","2012-08-04T22:55:15.000Z",,,,
"1","77","37.718738","-122.107324","44.0999755859375","143.0","10","0.9383","2012-08-04T22:55:22.000Z",,,,
"1","78","37.718702","-122.10728","42.20001220703125","145.0","10","0.8131","2012-08-04T22:55:28.000Z",,,,
"1","79","37.718675","-122.107229","42.4000244140625","124.0","10","0.5004","2012-08-04T22:55:42.000Z",,,,
"1","80","37.718628","-122.107231","42.0","156.0","10","0.9383","2012-08-04T22:55:50.000Z",,,,
"1","81","37.718598","-122.107168","42.4000244140625","128.0","10","1.3761","2012-08-04T22:55:55.000Z",,,,
"1","82","37.718565","-122.107127","42.0","142.0","10","1.3135","2012-08-04T22:55:59.000Z",,,,
"1","83","37.718526","-122.107084","42.0999755859375","155.0","10","1.0008","2012-08-04T22:56:04.000Z",,,,
"1","84","37.718481","-122.107035","41.70001220703125","156.0","10","1.3761","2012-08-04T22:56:10.000Z",,,,
"1","85","37.718453","-122.106988","41.5","146.0","10","0.9383","2012-08-04T22:56:15.000Z",,,,
"1","86","37.718456","-122.10693","40.79998779296875","134.0","10","0.3128","2012-08-04T22:56:22.000Z",,,,
"1","87","37.718451","-122.106867","40.5","127.0","15","0.563","2012-08-04T22:56:30.000Z",,,,
"1","88","37.718434","-122.10681","40.20001220703125","122.0","15","0.5004","2012-08-04T22:56:38.000Z",,,,
"1","89","37.718416","-122.106754","39.9000244140625","118.0","15","0.5004","2012-08-04T22:56:47.000Z",,,,
"1","90","37.718424","-122.106697","39.5","96.0","15","0.688","2012-08-04T22:56:52.000Z",,,,
"1","91","37.718434","-122.106633","39.0","109.0","15","0.563","2012-08-04T22:56:59.000Z",,,,
"1","92","37.718415","-122.106569","38.79998779296875","111.0","15","0.688","2012-08-04T22:57:04.000Z",,,,
"1","93","37.718416","-122.106502","38.4000244140625","83.0","15","1.0008","2012-08-04T22:57:08.000Z",,,,
"1","94","37.718411","-122.106443","37.70001220703125","106.0","15","0.563","2012-08-04T22:57:14.000Z",,,,
"1","95","37.718404","-122.106383","37.29998779296875","106.0","15","1.0008","2012-08-04T22:57:19.000Z",,,,
"1","96","37.718476","-122.106231","40.4000244140625","67.0","5","0.7506","2012-08-04T22:57:29.000Z",,,,
"1","97","37.718433","-122.106169","32.5","120.0","15","1.0633","2012-08-04T22:57:34.000Z",,,,
"1","98","37.718443","-122.106096","38.79998779296875","127.0","15","0.8757","2012-08-04T22:57:39.000Z",,,,
"1","99","37.718447","-122.106039","28.5999755859375","114.0","15","1.0008","2012-08-04T22:57:45.000Z",,,,
"1","100","37.718404","-122.106002","25.29998779296875","120.0","15","0.6255","2012-08-04T22:57:51.000Z",,,,
"1","101","37.718364","-122.105969","24.9000244140625","121.0","15","0.8757","2012-08-04T22:57:57.000Z",,,,
"1","102","37.718329","-122.105922","25.0999755859375","139.0","15","0.6255","2012-08-04T22:58:03.000Z",,,,
"1","103","37.718281","-122.105951","24.5","187.0","10","0.8131","2012-08-04T22:58:11.000Z",,,,
"1","104","37.718232","-122.105925","25.0","169.0","10","0.9383","2012-08-04T22:58:18.000Z",,,,
"1","105","37.718204","-122.105879","32.29998779296875","284.0","10","0.1877","2012-08-04T22:58:34.000Z",,,,
"1","106","37.718183","-122.105814","30.20001220703125","133.0","25","0.7506","2012-08-04T22:58:40.000Z",,,,
"1","107","37.718168","-122.105756","32.4000244140625","113.0","25","1.0633","2012-08-04T22:58:43.000Z",,,,
"1","108","37.718139","-122.105689","33.5999755859375","118.0","25","1.0008","2012-08-04T22:58:45.000Z",,,,
"1","109","37.718109","-122.105635","32.79998779296875","121.0","25","0.7506","2012-08-04T22:58:47.000Z",,,,
"1","110","37.718074","-122.105574","30.70001220703125","119.0","25","0.8131","2012-08-04T22:58:51.000Z",,,,
"1","111","37.718067","-122.105514","32.20001220703125","106.0","20","0.8131","2012-08-04T22:58:54.000Z",,,,
"1","112","37.718056","-122.105458","31.9000244140625","105.0","20","0.688","2012-08-04T22:58:59.000Z",,,,
"1","113","37.718039","-122.105396","33.0999755859375","116.0","15","0.8757","2012-08-04T22:59:04.000Z",,,,
"1","114","37.718019","-122.105336","38.20001220703125","118.0","15","0.5004","2012-08-04T22:59:10.000Z",,,,
"1","115","37.717994","-122.105287","39.0","118.0","15","0.8131","2012-08-04T22:59:15.000Z",,,,
"1","116","37.717963","-122.10524","40.20001220703125","133.0","15","0.8757","2012-08-04T22:59:20.000Z",,,,
"1","117","37.717932","-122.105186","38.0999755859375","161.0","15","0.8131","2012-08-04T22:59:38.000Z",,,,
"1","118","37.717904","-122.105124","38.5","159.0","25","0.5004","2012-08-04T22:59:43.000Z",,,,
"1","119","37.717862","-122.105083","37.79998779296875","162.0","30","0.8757","2012-08-04T22:59:48.000Z",,,,
"1","120","37.71782","-122.105039","40.4000244140625","145.0","25","1.0008","2012-08-04T22:59:53.000Z",,,,
"1","121","37.717786","-122.105","39.4000244140625","148.0","25","0.563","2012-08-04T22:59:57.000Z",,,,
"1","122","37.717754","-122.104942","42.9000244140625","147.0","25","0.688","2012-08-04T23:00:00.000Z",,,,
"1","123","37.717733","-122.10489","45.0","148.0","20","0.8757","2012-08-04T23:00:02.000Z",,,,
"1","124","37.717696","-122.104845","45.5","155.0","20","0.7506","2012-08-04T23:00:07.000Z",,,,
