"Name","Activity type","Description"
"8/5/2012 9:08pm car","driving",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.400903","-122.036944","-12.79998779296875","106.0","5","29.4611","2012-08-06T04:08:54.000Z",,,,
"1","2","37.400797","-122.036639","-24.600006103515625","104.0","10","29.2734","2012-08-06T04:08:55.000Z",,,,
"1","3","37.400753","-122.036309","-26.399993896484375","105.0","10","29.6487","2012-08-06T04:08:56.000Z",,,,
"1","4","37.400651","-122.036014","-20.600006103515625","105.0","10","29.8989","2012-08-06T04:08:57.000Z",,,,
"1","5","37.40051","-122.035362","-20.29998779296875","106.0","10","29.9615","2012-08-06T04:08:59.000Z",,,,
"1","6","37.400439","-122.035026","-21.899993896484375","106.0","10","30.4618","2012-08-06T04:09:00.000Z",,,,
"1","7","37.40037","-122.0347","-22.100006103515625","106.0","10","30.8372","2012-08-06T04:09:01.000Z",,,,
"1","8","37.400297","-122.034348","-20.100006103515625","106.0","10","31.0248","2012-08-06T04:09:02.000Z",,,,
"1","9","37.400216","-122.034","-18.70001220703125","106.0","10","31.1499","2012-08-06T04:09:03.000Z",,,,
"1","10","37.400149","-122.03366","-18.79998779296875","105.0","10","30.7746","2012-08-06T04:09:04.000Z",,,,
"1","11","37.400074","-122.033319","-18.20001220703125","106.0","10","31.0248","2012-08-06T04:09:05.000Z",,,,
"1","12","37.399998","-122.032984","-18.29998779296875","105.0","10","30.8997","2012-08-06T04:09:06.000Z",,,,
"1","13","37.399917","-122.032645","-18.20001220703125","105.0","10","31.0248","2012-08-06T04:09:07.000Z",,,,
"1","14","37.399846","-122.032311","-19.29998779296875","105.0","10","30.9622","2012-08-06T04:09:08.000Z",,,,
"1","15","37.399774","-122.031975","-20.5","105.0","10","30.8372","2012-08-06T04:09:09.000Z",,,,
"1","16","37.399704","-122.031643","-20.20001220703125","105.0","10","30.712","2012-08-06T04:09:10.000Z",,,,
"1","17","37.39963","-122.031303","-20.100006103515625","104.0","10","30.8997","2012-08-06T04:09:11.000Z",,,,
"1","18","37.399558","-122.030964","-20.79998779296875","105.0","10","31.2125","2012-08-06T04:09:12.000Z",,,,
"1","19","37.399486","-122.030615","-21.29998779296875","105.0","10","31.5877","2012-08-06T04:09:13.000Z",,,,
"1","20","37.399411","-122.030269","-22.5","105.0","10","31.6503","2012-08-06T04:09:14.000Z",,,,
"1","21","37.399338","-122.029929","-23.29998779296875","105.0","10","31.6503","2012-08-06T04:09:15.000Z",,,,
"1","22","37.39927","-122.029588","-24.29998779296875","105.0","10","31.9005","2012-08-06T04:09:16.000Z",,,,
"1","23","37.399202","-122.02924","-25.100006103515625","105.0","10","32.0256","2012-08-06T04:09:17.000Z",,,,
"1","24","37.399141","-122.0289","-27.5","105.0","10","32.0882","2012-08-06T04:09:18.000Z",,,,
"1","25","37.399069","-122.028553","-29.0","105.0","10","32.2758","2012-08-06T04:09:19.000Z",,,,
"1","26","37.398992","-122.028202","-30.29998779296875","105.0","10","32.2758","2012-08-06T04:09:20.000Z",,,,
"1","27","37.398916","-122.027853","-30.600006103515625","105.0","10","31.9005","2012-08-06T04:09:21.000Z",,,,
"1","28","37.398839","-122.027506","-30.29998779296875","105.0","10","31.4627","2012-08-06T04:09:22.000Z",,,,
"1","29","37.398761","-122.027162","-30.29998779296875","105.0","10","31.3375","2012-08-06T04:09:23.000Z",,,,
"1","30","37.398686","-122.02682","-30.5","105.0","10","31.275","2012-08-06T04:09:24.000Z",,,,
"1","31","37.398612","-122.026478","-30.79998779296875","105.0","10","31.2125","2012-08-06T04:09:25.000Z",,,,
"1","32","37.398539","-122.026138","-30.79998779296875","105.0","10","31.2125","2012-08-06T04:09:26.000Z",,,,
"1","33","37.398464","-122.025797","-31.29998779296875","105.0","10","31.275","2012-08-06T04:09:27.000Z",,,,
"1","34","37.398388","-122.025459","-31.20001220703125","105.0","5","31.2125","2012-08-06T04:09:28.000Z",,,,
"1","35","37.398312","-122.025122","-31.0","106.0","5","30.9622","2012-08-06T04:09:29.000Z",,,,
"1","36","37.398236","-122.024788","-31.0","106.0","5","30.5244","2012-08-06T04:09:30.000Z",,,,
"1","37","37.398161","-122.024457","-31.20001220703125","106.0","5","30.3993","2012-08-06T04:09:31.000Z",,,,
"1","38","37.398088","-122.024127","-31.20001220703125","105.0","5","30.4618","2012-08-06T04:09:32.000Z",,,,
"1","39","37.398017","-122.023795","-31.0","105.0","5","30.587","2012-08-06T04:09:33.000Z",,,,
"1","40","37.397944","-122.023462","-30.899993896484375","105.0","5","30.8372","2012-08-06T04:09:34.000Z",,,,
"1","41","37.39787","-122.023125","-30.899993896484375","105.0","5","31.0873","2012-08-06T04:09:35.000Z",,,,
"1","42","37.397795","-122.022784","-31.0","105.0","5","31.4001","2012-08-06T04:09:36.000Z",,,,
"1","43","37.397719","-122.022442","-30.79998779296875","106.0","5","31.7128","2012-08-06T04:09:37.000Z",,,,
