"Name","Activity type","Description"
"Ellis St & U.S. 101","train",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.408455","-121.944187","-28.20001220703125","98.0","10","0.1877","2012-08-10T18:14:16.000Z",,,,
"1","2","37.40846","-121.944246","-28.20001220703125","273.0","10","0.8757","2012-08-10T18:14:26.000Z",,,,
"1","3","37.408449","-121.94431","-28.100006103515625","262.0","10","1.814","2012-08-10T18:14:29.000Z",,,,
"1","4","37.408445","-121.944388","-28.0","263.0","10","2.1267","2012-08-10T18:14:32.000Z",,,,
"1","5","37.408454","-121.944445","-28.0","266.0","10","2.3769","2012-08-10T18:14:34.000Z",,,,
"1","6","37.408481","-121.944518","-28.100006103515625","273.0","10","2.1892","2012-08-10T18:14:37.000Z",,,,
"1","7","37.408522","-121.94455","-28.20001220703125","285.0","10","2.0016","2012-08-10T18:14:39.000Z",,,,
"1","8","37.408615","-121.944587","-27.79998779296875","302.0","15","2.9398","2012-08-10T18:14:41.000Z",,,,
"1","9","37.408685","-121.944607","-27.399993896484375","323.0","15","3.3152","2012-08-10T18:14:42.000Z",,,,
"1","10","37.408735","-121.944617","-27.399993896484375","328.0","15","3.4402","2012-08-10T18:14:43.000Z",,,,
"1","11","37.40879","-121.944638","-27.29998779296875","326.0","15","3.8156","2012-08-10T18:14:44.000Z",,,,
"1","12","37.408842","-121.944652","-27.100006103515625","327.0","15","3.6279","2012-08-10T18:14:45.000Z",,,,
"1","13","37.408905","-121.94469","-27.100006103515625","326.0","15","3.1275","2012-08-10T18:14:47.000Z",,,,
"1","14","37.408962","-121.944743","-27.100006103515625","321.0","15","3.0649","2012-08-10T18:14:49.000Z",,,,
"1","15","37.409008","-121.944802","-27.399993896484375","312.0","15","3.0649","2012-08-10T18:14:51.000Z",,,,
"1","16","37.409042","-121.944867","-27.399993896484375","302.0","10","3.2526","2012-08-10T18:14:53.000Z",,,,
"1","17","37.409065","-121.944928","-27.600006103515625","298.0","10","2.8147","2012-08-10T18:14:55.000Z",,,,
"1","18","37.40908","-121.945001","-27.600006103515625","289.0","10","2.7522","2012-08-10T18:14:57.000Z",,,,
"1","19","37.409083","-121.945083","-27.899993896484375","276.0","10","2.6897","2012-08-10T18:14:59.000Z",,,,
"1","20","37.409048","-121.94517","-28.20001220703125","260.0","10","2.9398","2012-08-10T18:15:01.000Z",,,,
"1","21","37.409013","-121.945254","-28.100006103515625","242.0","10","3.5028","2012-08-10T18:15:03.000Z",,,,
"1","22","37.408969","-121.945355","-28.100006103515625","241.0","10","4.1283","2012-08-10T18:15:05.000Z",,,,
"1","23","37.408936","-121.945419","-28.100006103515625","239.0","10","4.6287","2012-08-10T18:15:06.000Z",,,,
"1","24","37.408903","-121.945486","-28.100006103515625","238.0","10","5.1291","2012-08-10T18:15:07.000Z",,,,
"1","25","37.408872","-121.945554","-27.899993896484375","237.0","10","5.5669","2012-08-10T18:15:08.000Z",,,,
"1","26","37.408838","-121.945621","-27.79998779296875","235.0","10","5.8797","2012-08-10T18:15:09.000Z",,,,
"1","27","37.408802","-121.945687","-27.70001220703125","234.0","10","6.1299","2012-08-10T18:15:10.000Z",,,,
"1","28","37.408766","-121.945758","-27.70001220703125","234.0","10","6.3801","2012-08-10T18:15:11.000Z",,,,
"1","29","37.408731","-121.94584","-27.600006103515625","237.0","10","6.5677","2012-08-10T18:15:12.000Z",,,,
"1","30","37.408693","-121.945918","-27.5","237.0","15","6.8805","2012-08-10T18:15:13.000Z",,,,
"1","31","37.408653","-121.945996","-27.5","236.0","15","7.1307","2012-08-10T18:15:14.000Z",,,,
"1","32","37.408615","-121.94608","-27.399993896484375","238.0","15","7.2558","2012-08-10T18:15:15.000Z",,,,
"1","33","37.408574","-121.946177","-27.29998779296875","239.0","15","7.6936","2012-08-10T18:15:16.000Z",,,,
"1","34","37.40853","-121.946283","-27.20001220703125","240.0","15","8.194","2012-08-10T18:15:17.000Z",,,,
"1","35","37.408489","-121.946373","-27.20001220703125","240.0","15","8.3817","2012-08-10T18:15:18.000Z",,,,
"1","36","37.408441","-121.946479","-27.29998779296875","240.0","15","8.757","2012-08-10T18:15:19.000Z",,,,
"1","37","37.408375","-121.946654","-27.399993896484375","240.0","15","9.9455","2012-08-10T18:15:20.000Z",,,,
"1","38","37.408306","-121.946823","-27.79998779296875","242.0","15","11.0088","2012-08-10T18:15:21.000Z",,,,
"1","39","37.408206","-121.947039","-28.20001220703125","247.0","15","11.8219","2012-08-10T18:15:22.000Z",,,,
"1","40","37.408138","-121.947224","-28.399993896484375","251.0","15","12.4475","2012-08-10T18:15:23.000Z",,,,
"1","41","37.408091","-121.947386","-28.5","249.0","15","12.3849","2012-08-10T18:15:24.000Z",,,,
"1","42","37.408041","-121.947546","-28.70001220703125","245.0","15","12.0722","2012-08-10T18:15:25.000Z",,,,
"1","43","37.40799","-121.947694","-28.600006103515625","242.0","15","11.5092","2012-08-10T18:15:26.000Z",,,,
"1","44","37.40793","-121.947844","-28.600006103515625","242.0","10","11.8219","2012-08-10T18:15:27.000Z",,,,
"1","45","37.40788","-121.948","-29.0","247.0","10","11.947","2012-08-10T18:15:28.000Z",,,,
"1","46","37.407854","-121.948204","-29.0","253.0","10","13.1355","2012-08-10T18:15:29.000Z",,,,
"1","47","37.407844","-121.948383","-29.70001220703125","260.0","15","14.0737","2012-08-10T18:15:30.000Z",,,,
"1","48","37.407828","-121.948563","-30.20001220703125","262.0","15","14.3865","2012-08-10T18:15:31.000Z",,,,
"1","49","37.407807","-121.948743","-29.70001220703125","262.0","15","15.0745","2012-08-10T18:15:32.000Z",,,,
"1","50","37.407805","-121.949113","-30.29998779296875","270.0","15","15.8877","2012-08-10T18:15:34.000Z",,,,
"1","51","37.407805","-121.949493","-30.79998779296875","271.0","15","15.8251","2012-08-10T18:15:36.000Z",,,,
"1","52","37.407809","-121.949693","-31.20001220703125","271.0","15","15.8251","2012-08-10T18:15:37.000Z",,,,
"1","53","37.407882","-121.950576","-29.29998779296875","276.0","15","15.7626","2012-08-10T18:15:42.000Z",,,,
"1","54","37.407938","-121.950746","-27.600006103515625","278.0","20","15.8877","2012-08-10T18:15:43.000Z",,,,
"1","55","37.408034","-121.950898","-26.20001220703125","283.0","20","15.8251","2012-08-10T18:15:44.000Z",,,,
"1","56","37.408125","-121.951041","-25.20001220703125","289.0","20","15.575","2012-08-10T18:15:45.000Z",,,,
"1","57","37.408553","-121.951748","-23.29998779296875","305.0","25","12.0096","2012-08-10T18:15:51.000Z",,,,
"1","58","37.408674","-121.95186","-22.600006103515625","307.0","25","11.5092","2012-08-10T18:15:52.000Z",,,,
"1","59","37.408758","-121.951946","-21.79998779296875","308.0","25","11.1339","2012-08-10T18:15:53.000Z",,,,
"1","60","37.408863","-121.952007","-21.100006103515625","313.0","25","10.008","2012-08-10T18:15:54.000Z",,,,
"1","61","37.40895","-121.952076","-19.79998779296875","316.0","25","9.5701","2012-08-10T18:15:55.000Z",,,,
"1","62","37.409021","-121.952151","-18.5","315.0","25","8.8196","2012-08-10T18:15:56.000Z",,,,
"1","63","37.409081","-121.952182","-17.29998779296875","318.0","25","7.3184","2012-08-10T18:15:57.000Z",,,,
"1","64","37.409131","-121.952206","-16.100006103515625","324.0","20","5.8797","2012-08-10T18:15:58.000Z",,,,
"1","65","37.409178","-121.952231","-14.399993896484375","327.0","20","5.004","2012-08-10T18:15:59.000Z",,,,
"1","66","37.40922","-121.95229","-11.79998779296875","320.0","20","2.502","2012-08-10T18:16:01.000Z",,,,
"1","67","37.409247","-121.952352","-20.100006103515625","349.0","5","2.3143","2012-08-10T18:16:23.000Z",,,,
"1","68","37.409308","-121.952437","-18.29998779296875","311.0","5","4.8163","2012-08-10T18:16:25.000Z",,,,
"1","69","37.409342","-121.952492","-17.20001220703125","308.0","5","6.3176","2012-08-10T18:16:26.000Z",,,,
