"Name","Activity type","Description"
"N Akron Rd","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.412283","-122.059054","-12.399993896484375","175.0","10","1.0633","2012-08-02T20:46:04.000Z",,,,
"1","2","37.412545","-122.059209","-20.100006103515625","349.0","15","0.563","2012-08-02T20:46:06.000Z",,,,
"1","3","37.412366","-122.058312","-184.29998779296875","96.0","25","3.753","2012-08-02T20:46:07.000Z",,,,
"1","4","37.412254","-122.058119","-169.70001220703125","113.0","40","3.2526","2012-08-02T20:46:08.000Z",,,,
"1","5","37.412253","-122.058042","-165.10000610351563","120.0","50","3.6904","2012-08-02T20:46:09.000Z",,,,
"1","6","37.412344","-122.058003","-175.10000610351563","168.0","50","2.2518","2012-08-02T20:46:11.000Z",,,,
"1","7","37.412305","-122.058114","-178.70001220703125","268.0","50","3.0024","2012-08-02T20:46:12.000Z",,,,
"1","8","37.412198","-122.058344","-164.5","277.0","50","2.6897","2012-08-02T20:46:13.000Z",,,,
"1","9","37.412158","-122.058553","-147.70001220703125","306.0","50","3.2526","2012-08-02T20:46:14.000Z",,,,
"1","10","37.412177","-122.058605","-123.5","301.0","50","2.2518","2012-08-02T20:46:15.000Z",,,,
"1","11","37.412031","-122.058705","-102.60000610351563","290.0","50","0.8131","2012-08-02T20:46:16.000Z",,,,
"1","12","37.412143","-122.058725","-87.70001220703125","330.0","50","0.8757","2012-08-02T20:46:17.000Z",,,,
"1","13","37.412177","-122.058774","-76.89999389648438","357.0","50","2.0642","2012-08-02T20:46:18.000Z",,,,
"1","14","37.412197","-122.05865","-57.600006103515625","20.0","50","0.9383","2012-08-02T20:46:20.000Z",,,,
"1","15","37.412176","-122.058594","-47.100006103515625","39.0","50","0","2012-08-02T20:46:22.000Z",,,,
"1","16","37.412176","-122.058594","-47.100006103515625","39.0","50","0","2012-08-02T20:46:22.000Z",,,,
"1","17","37.412176","-122.058594","-47.100006103515625","39.0","50","0","2012-08-02T20:46:24.000Z",,,,
"1","18","37.412176","-122.058449","-72.79998779296875","37.0","50","0.1251","2012-08-02T20:46:25.000Z",,,,
"1","19","37.412169","-122.058377","-83.5","81.0","50","0.1251","2012-08-02T20:46:26.000Z",,,,
"1","20","37.412167","-122.058546","-56.70001220703125","131.0","50","0.0626","2012-08-02T20:46:27.000Z",,,,
"1","21","37.41216","-122.05863","-45.399993896484375","131.0","50","0","2012-08-02T20:46:28.000Z",,,,
"1","22","37.41216","-122.05863","-45.399993896484375","131.0","50","0","2012-08-02T20:46:28.000Z",,,,
"1","23","37.41216","-122.05863","-45.399993896484375","131.0","45","0","2012-08-02T20:46:31.000Z",,,,
"1","24","37.41216","-122.058778","-29.20001220703125","131.0","40","0.2502","2012-08-02T20:46:32.000Z",,,,
"1","25","37.412174","-122.058839","-24.0","120.0","35","0","2012-08-02T20:46:35.000Z",,,,
"1","26","37.412223","-122.058855","-24.399993896484375","28.0","30","0.8757","2012-08-02T20:46:41.000Z",,,,
"1","27","37.412246","-122.058925","-20.0","344.0","25","1.0008","2012-08-02T20:46:44.000Z",,,,
"1","28","37.412255","-122.058984","-15.79998779296875","324.0","25","0.8757","2012-08-02T20:46:46.000Z",,,,
"1","29","37.412271","-122.059043","-13.5","318.0","25","0.4378","2012-08-02T20:46:49.000Z",,,,
"1","30","37.412285","-122.059101","-10.79998779296875","243.0","20","0.6255","2012-08-02T20:47:00.000Z",,,,
"1","31","37.412234","-122.059082","-17.100006103515625","202.0","50","0.563","2012-08-02T20:47:11.000Z",,,,
"1","32","37.412232","-122.05901","-23.600006103515625","121.0","40","0.4378","2012-08-02T20:47:21.000Z",,,,
"1","33","37.412187","-122.059034","-23.79998779296875","203.0","30","0.8757","2012-08-02T20:47:30.000Z",,,,
"1","34","37.412238","-122.059031","-22.100006103515625","60.0","30","0.563","2012-08-02T20:47:45.000Z",,,,
